Date,Open,High,Low,Close,Adj Close,Volume
2018-08-14,114.269997,115.040001,113.650002,114.650002,111.290070,10597600
2018-08-15,113.820000,114.330002,112.970001,113.699997,110.367912,10152100
2018-08-16,114.349998,115.309998,114.300003,114.769997,111.406548,10118600
2018-08-17,114.639999,115.070000,114.300003,114.769997,111.406548,8505100
2018-08-20,114.589996,115.050003,114.110001,114.620003,111.260948,8618700
2018-08-21,115.370003,116.389999,114.879997,115.320000,111.940422,10976700
2018-08-22,115.309998,115.410004,114.779999,114.970001,111.600693,8314700
2018-08-23,114.959999,115.150002,114.430000,114.730003,111.367729,9265400
2018-08-24,114.980003,115.220001,114.449997,114.680000,111.319183,8845700
2018-08-27,115.220001,117.279999,115.169998,116.709999,113.289696,13768000
2018-08-28,117.000000,117.029999,115.970001,116.139999,112.736397,8302600
2018-08-29,116.349998,116.370003,115.360001,115.760002,112.367538,7221700
2018-08-30,115.589996,116.040001,114.980003,115.190002,111.814247,8991800
2018-08-31,114.830002,114.839996,113.820000,114.580002,111.222122,13065700
2018-09-04,114.339996,115.239998,113.629997,115.150002,111.775421,10174200
2018-09-05,115.000000,115.699997,114.250000,114.589996,111.231819,11462400
2018-09-06,114.500000,114.699997,113.500000,114.099998,110.756180,9877600
2018-09-07,114.500000,114.769997,113.629997,114.320000,110.969734,10955600
2018-09-10,114.849998,114.970001,113.660004,113.709999,110.377617,8276900
2018-09-11,113.540001,114.580002,113.180000,114.430000,111.076515,9333800
2018-09-12,114.250000,114.879997,112.849998,113.080002,109.766075,10800800
2018-09-13,113.370003,114.129997,112.669998,113.519997,110.193184,12470800
2018-09-14,113.809998,114.489998,113.230003,113.500000,110.173767,10337900
2018-09-17,113.790001,114.430000,113.300003,113.839996,110.503807,9561300
2018-09-18,114.330002,114.660004,113.559998,114.300003,110.950317,7944200
2018-09-19,114.440002,118.059998,114.440002,117.620003,114.173035,16052800
2018-09-20,118.500000,119.239998,118.080002,118.629997,115.153419,15590000
2018-09-21,119.129997,119.230003,117.739998,117.849998,114.396286,24788200
2018-09-24,117.760002,118.459999,116.430000,116.720001,113.299400,12492500
2018-09-25,117.040001,117.970001,116.320000,116.389999,112.979080,9308300
2018-09-26,116.750000,116.870003,114.660004,115.019997,111.649223,14023600
2018-09-27,115.419998,115.760002,114.160004,114.519997,111.163872,13283000
2018-09-28,113.650002,114.239998,112.519997,112.839996,109.533104,15815100
2018-10-01,113.370003,114.610001,113.040001,113.500000,110.173767,10146300
2018-10-02,113.360001,114.120003,112.809998,113.970001,110.629990,13753100
2018-10-03,114.940002,115.660004,114.480003,115.040001,111.668640,17142000
2018-10-04,114.550003,116.809998,114.209999,115.269997,112.675446,16357400
2018-10-05,115.830002,116.099998,114.019997,114.620003,112.040085,13777600
2018-10-08,114.250000,115.779999,113.349998,115.320000,112.724319,14370900
2018-10-09,114.669998,115.029999,113.669998,114.519997,111.942329,14069500
2018-10-10,114.699997,114.949997,111.470001,111.470001,108.960983,23086400
2018-10-11,110.970001,111.470001,107.379997,108.129997,105.696159,33705600
2018-10-12,110.370003,110.830002,105.599998,106.949997,104.542717,32075700
2018-10-15,107.199997,108.849998,106.320000,106.339996,103.946442,18903200
2018-10-16,107.160004,108.779999,106.730003,108.620003,106.175133,19302800
2018-10-17,108.379997,110.800003,108.230003,109.830002,107.357903,18794500
2018-10-18,109.019997,109.839996,107.809998,108.089996,105.657059,17582500
2018-10-19,107.650002,109.220001,107.269997,107.910004,105.481110,15234500
2018-10-22,108.150002,108.339996,106.110001,106.360001,103.966003,16199100
2018-10-23,104.199997,106.160004,103.699997,105.250000,102.880989,21407500
2018-10-24,104.760002,105.029999,102.910004,103.290001,100.965103,23168900
2018-10-25,104.180000,105.900002,103.720001,104.860001,102.499771,17464700
2018-10-26,104.000000,104.559998,102.730003,103.419998,101.092171,19174900
2018-10-29,104.459999,106.629997,103.699997,104.849998,102.489990,18445200
2018-10-30,105.709999,106.980003,104.860001,106.699997,104.298347,18019700
2018-10-31,108.080002,110.480003,107.790001,109.019997,106.566116,20860000
2018-11-01,109.620003,110.220001,108.320000,108.980003,106.527031,13065000
2018-11-02,109.900002,110.809998,107.489998,108.379997,105.940529,19009200
2018-11-05,108.610001,109.290001,108.419998,109.089996,106.634544,10276400
2018-11-06,108.669998,109.669998,107.760002,109.599998,107.133072,10825000
2018-11-07,110.370003,111.730003,109.349998,111.480003,108.970764,12679600
2018-11-08,111.010002,112.930000,111.000000,112.379997,109.850502,11662500
2018-11-09,112.230003,112.360001,110.830002,111.290001,108.785027,10432200
2018-11-12,111.419998,111.940002,108.599998,108.949997,106.497704,13279700
2018-11-13,109.099998,111.120003,109.099998,109.589996,107.123291,13746100
2018-11-14,110.230003,110.709999,105.980003,107.330002,104.914169,18361400
2018-11-15,108.239998,110.080002,106.809998,110.070000,107.592499,19100000
2018-11-16,109.449997,110.760002,108.550003,109.989998,107.514297,13798600
2018-11-19,109.959999,111.199997,109.529999,110.830002,108.335388,13987000
2018-11-20,109.779999,110.489998,107.980003,108.449997,106.008949,18936200
2018-11-21,109.029999,109.610001,107.639999,107.639999,105.217186,10619600
2018-11-23,106.739998,107.389999,106.059998,106.650002,104.249474,6488400
2018-11-26,107.720001,109.980003,107.449997,109.260002,106.800728,13948300
2018-11-27,108.760002,110.029999,108.629997,109.720001,107.250374,9238200
2018-11-28,109.800003,111.400002,108.870003,110.940002,108.442917,13977300
2018-11-29,110.269997,110.800003,109.639999,110.059998,107.582718,11144300
2018-11-30,109.849998,111.320000,109.580002,111.190002,108.687286,18652700
2018-12-03,112.379997,112.889999,111.739998,112.239998,109.713646,16034500
2018-12-04,111.599998,111.599998,106.730003,107.230003,104.816422,23555900
2018-12-06,105.010002,105.360001,102.879997,105.190002,102.822342,27213900
2018-12-07,105.160004,106.980003,102.910004,103.290001,100.965103,19248600
2018-12-10,102.870003,103.489998,99.279999,101.360001,99.078545,23636400
2018-12-11,103.129997,103.660004,100.209999,100.370003,98.110832,16860700
2018-12-12,101.660004,102.900002,100.059998,101.019997,98.746193,22621500
2018-12-13,101.550003,101.970001,100.669998,101.120003,98.843941,17250900
2018-12-14,99.989998,101.940002,99.860001,100.290001,98.032631,19879500
2018-12-17,99.769997,100.559998,98.440002,99.010002,96.781433,25113500
2018-12-18,99.419998,100.889999,98.120003,98.540001,96.322014,20837200
2018-12-19,98.410004,100.580002,96.599998,97.290001,95.100151,28767900
2018-12-20,96.610001,98.279999,95.690002,96.449997,94.279053,31825200
2018-12-21,96.680000,98.430000,93.690002,94.169998,92.050377,41313900
2018-12-24,92.889999,94.220001,92.139999,92.139999,90.066071,17009300
2018-12-26,92.690002,95.959999,91.110001,95.959999,93.800095,22542900
2018-12-27,94.820000,97.150002,93.550003,97.040001,94.855774,20304700
2018-12-28,97.949997,98.320000,96.440002,96.830002,94.650513,17963300
2018-12-31,97.589996,98.809998,96.769997,97.620003,95.422729,13237200
2019-01-02,95.949997,99.779999,95.940002,99.309998,97.074684,15670900
2019-01-03,98.639999,98.889999,96.690002,97.110001,95.695084,16286400
2019-01-04,99.110001,100.930000,98.279999,100.690002,99.222923,16935200
2019-01-07,100.430000,101.470001,99.709999,100.760002,99.291908,15430700
2019-01-08,101.629997,101.820000,99.550003,100.570000,99.104668,13578800
2019-01-09,100.809998,101.489998,99.930000,100.400002,98.937149,14230300
2019-01-10,100.019997,100.730003,99.269997,100.389999,98.927292,14376100
2019-01-11,99.889999,100.169998,98.949997,99.910004,98.454292,15439900
2019-01-14,98.870003,101.360001,98.660004,100.940002,99.469284,21258500
2019-01-15,98.889999,102.470001,98.599998,101.680000,100.198494,26504900
2019-01-16,102.250000,103.449997,101.800003,102.500000,101.006546,18533000
2019-01-17,102.110001,103.500000,101.919998,102.919998,101.420425,14247600
2019-01-18,103.769997,104.900002,102.830002,104.589996,103.066093,16428700
2019-01-22,103.080002,103.589996,102.129997,102.940002,101.440140,17083700
2019-01-23,103.440002,103.699997,101.970001,102.680000,101.183929,12146700
2019-01-24,102.129997,103.089996,101.940002,102.739998,101.243050,11296800
2019-01-25,103.510002,104.309998,102.739998,103.389999,101.883583,14369400
2019-01-28,102.889999,104.239998,102.589996,103.879997,102.366440,12283100
2019-01-29,103.879997,105.110001,103.730003,104.169998,102.652214,9743300
2019-01-30,104.139999,105.239998,103.779999,104.410004,102.888725,12526300
2019-01-31,103.410004,103.800003,102.730003,103.500000,101.991982,17520600
2019-02-01,104.000000,104.849998,103.519997,103.879997,102.366440,13000800
